whed_1  |  LOG  Processing Ghana
whed_1  |  RESULT  Ghana total result 76
whed_1  |  LOG  Processing Greece
whed_1  |  RESULT  Greece total result 26
whed_1  |  LOG  Processing Grenada
whed_1  |  RESULT  Grenada total result 1
whed_1  |  LOG  Processing Guatemala
whed_1  |  RESULT  Guatemala total result 59
whed_1  |  LOG  Processing Guinea
whed_1  |  RESULT  Guinea total result 1
whed_1  |  LOG  Processing Guinea-Bissau
whed_1  |  RESULT  Guinea-Bissau total result 7
whed_1  |  LOG  Processing Guyana
whed_1  |  RESULT  Guyana total result 1
whed_1  |  LOG  Processing Haiti
whed_1  |  RESULT  Haiti total result 14
whed_1  |  LOG  Processing Holy See
whed_1  |  RESULT  Holy See total result 19
whed_1  |  LOG  Processing Honduras
whed_1  |  RESULT  Honduras total result 18
whed_1  |  LOG  Processing Hungary
whed_1  |  RESULT  Hungary total result 38
whed_1  |  LOG  Processing Iceland
whed_1  |  RESULT  Iceland total result 7
whed_1  |  LOG  Processing India
whed_1  |  RESULT  India total result 809
whed_1  |  LOG  Processing Indonesia
whed_1  |  RESULT  Indonesia total result 1259
whed_1  |  LOG  Processing Iran (Islamic Republic of)
whed_1  |  RESULT  Iran (Islamic Republic of) total result 246
whed_1  |  LOG  Processing Iraq
whed_1  |  RESULT  Iraq total result 36
whed_1  |  LOG  Processing Ireland
whed_1  |  RESULT  Ireland total result 49
whed_1  |  LOG  Processing Israel
whed_1  |  RESULT  Israel total result 42
whed_1  |  LOG  Processing Italy
whed_1  |  RESULT  Italy total result 98
whed_1  |  LOG  Processing Jamaica
whed_1  |  RESULT  Jamaica total result 8
whed_1  |  LOG  Processing Japan
whed_1  |  RESULT  Japan total result 765
whed_1  |  LOG  Processing Jordan
whed_1  |  RESULT  Jordan total result 32
whed_1  |  LOG  Processing Kazakhstan
whed_1  |  RESULT  Kazakhstan total result 115
whed_1  |  LOG  Processing Kenya
whed_1  |  RESULT  Kenya total result 50
whed_1  |  LOG  Processing Korea (Democratic People's Republic of)
whed_1  |  RESULT  Korea (Democratic People's Republic of) total result 72
whed_1  |  LOG  Processing Korea (Republic of)
whed_1  |  RESULT  Korea (Republic of) total result 248
whed_1  |  LOG  Processing Kuwait
whed_1  |  RESULT  Kuwait total result 6
whed_1  |  LOG  Processing Kyrgyzstan
whed_1  |  RESULT  Kyrgyzstan total result 25
whed_1  |  LOG  Processing Lao People's Democratic Republic
whed_1  |  RESULT  Lao People's Democratic Republic total result 13
whed_1  |  LOG  Processing Latvia
whed_1  |  RESULT  Latvia total result 26
